Date,Event Name (40 characters max)?,Venue (address if indie),Time (start-end),Price,30-character descriptor,Link to Event,Event submitted to Pin Up Outaouais by:
"Sun, Aug 31",Sunday Breakfast or Brunch,Canadian Museum of Nature,9:00 AM,,"Enjoy a delicious breakfast or brunch in the beautiful, glass Queens' Lantern of the Canadian Museum of Nature ""castle"". The exquisite selection of menu items is masterfully prepared by the museum's Chef William Carter of Gourmet Cuisine.Breakfast9 am – 11 amEarly risers can start their day off right with a hearty breakfast buffet that includes eggs, bacon, pancakes, pastries, juice, coffee and more.Brunch11 am – 2 pmThe scrumptious brunch buffet includes roast beef, glazed ham, pasta, vegetables, assorted salads, wild salmon gravlax, charcuterie, breakfast items, fruit, desserts and more.The breakfast and brunch packages include general admission to the museum, as well as the meal's gratuity. (The Creatures of Light special exhibition and 3D movies are extra). So, after brunching in style, be sure to visit the museum's world-class galleries.PricesBreakfastAdult: $25.45Senior (65+): $23.45Student (13+): $23.45Child (5–12): $13.40Child (3–4): $6.50Tiny Tot (0–2): FreeMember: 10% discountBrunchAdult: $40.40Senior (65+): $38.40Student (13+): $38.40Child (5–12): $21.45Child (3–4): $6.50Tiny Tot (0–2): FreeMember: 10% discountTaxes are not included.A 15% gratuity isincluded.Reservationsrichard.lussier@gourmetcuisine.com613.232.6976at the reception desk.",http://couchassass.in/event/sunday-breakfast-or-brunch,Couch Assassin
"Sun, Aug 31",CENTimental Journey,Canadian Museum of Civilization,9:30 AM,,"The Currency Museum temporary exhibition, hosted at the Canadian Museum of History, walks you through more than 150 years of the Canadian 1 cent piece. Featuring 12 significant coins, this exhibition evokes Canadian and world history even as it profiles our humble pennies. The coins are backed up with entertaining graphics in a fun catalogue format demonstrating the enormous change in the buying power of the cent over the last 100 years. Come and see both the first and the last pennies struck at the Royal Canadian Mint. Come see what they could buy.Located behind the Grand Hall at the Canadian Museum of History in Gatineau, Québec. FOR MORE INFORMATIONT: 613-782-7224museum-musee@bankofcanada.ca",http://couchassass.in/event/centimental-journey-0,Couch Assassin
"Sun, Aug 31",Diasporic Transmission – An Exploration in Color Group Art Exhibition,FARah Gallery,10:00 AM,,"This exhibition explores artists from the African and Caribbean Diaspora, as well as aspires to engage viewers through the artists' thematic use of colours. These artists hail from the Dominican Republic, Ghana, Guyana, Haiti, Jamaica, St. Lucia, Sudan and Trinidad. Featured artist, the internationally renowned St.Lucian Luigi St.Omer (Son of Honourable Sir Dunstan St.Omer) showcases two of his collections at this exhibition. Alongside these two collections are the works of professional artists: Kenneth Abendana Spencer, Richard Hall, Hamid Ayoub, Tamara Natalie Madden, Elpedio Robinson, Amarkine Amarteifio, Shastri Maharaj and Yvon Villaceau. These works collectively challenge the viewer to engage in the artist's portrayal of their homeland and to share in the reflection of their journey. The following artist works will be showcased: St. Lucia: Luigi St. Omer (Featured Artist)Jamaica: Richard Hall, Rani Carson, Kenneth Abendana Spencer, Elpedio Robinson, Tamara Natalie Madden, Howard McDonald, Bill Corrodus, Zara Zhu, Headley Thompson; Dominican Republic: David Vasquez; Haiti: Wilder St. Louis, Fredo, Yvon Villaceau; Sudan: Hamid Ayoub; Ghana: Armakine Amarteifio, David Anorpansuo; Guyana: Farouk Ali; Trinidad: Shastri Maharaj",http://couchassass.in/event/diasporic-transmission-an-exploration-in-color-group-art-exhibition,Couch Assassin
"Sun, Aug 31",Black & White,Cube Gallery,10:30 AM,,"Vernissage:Thu Aug 7th, 2014 — 6:00 pm - 9:30 pmBlack and white are the earliest, most basic elements of art. Eighteen thousand years ago our cousins, the Paleolitic artists, used charcoal black on the cave walls of Lascaux in France. White is the mixture of all colours together.We often associate black & white with good and bad, this or that, right or wrong. Eighteen artists explore and celebrate what Black & White means to them in this mixed media show at Cube Gallery.Group show featuring -Adrienne Herron, Carol Grant, Denisa Prochazka, François Cambe, Isabella Di Sclafani, Joejene C. Santos, Josée Prud'homme, Katherine McNenly, Keith Bell, MaryAnn Camps, Mahshid Farhoudi, Michael Kinghorn, Norman Takeuchi, Peter Dolan, Robert Davis, Ruth Dick, Steve Perry, Tim Watts, Whitney Lewis-Smith, Zainab Hussain",http://couchassass.in/event/black-white-0,Couch Assassin
"Sun, Aug 31",Black & White,Cube Gallery,10:30 AM,,"Black and white are the earliest, most basic elements of art. Eighteen thousand years ago our cousins, the Paleolitic artists, used charcoal black on the cave walls of Lascaux in France. White is the mixture of all colours together.We often associate black & white with good and bad, this or that, right or wrong. Eighteen artists explore and celebrate what Black & White means to them in this mixed media show at Cube Gallery.Group show featuring -Adrienne Herron, Carol Grant, Denisa Prochazka, Isabella Di Sclafani, Joejene C. Santos, Josée Prud'homme, Katherine McNenly, Keith Bell, MaryAnn Camps, Mahshid Farhoudi, Michael Kinghorn, Norman Takeuchi, Peter Dolan, Robert Davis, Ruth Dick, Steve Perry, Tim Watts, Whitney Lewis-Smith, Zainab Hussain",http://couchassass.in/event/black-white,Couch Assassin
"Sun, Aug 31",Sunday Blues,Atomic Rooster,6:00 PM,,Check out the Atomic Rooster event page for tonight's Blues act.,http://couchassass.in/event/sunday-blues-0,Couch Assassin
"Sun, Aug 31",Sunday Night Jazz,Zen Kitchen,6:00 PM,,"Every Sunday night from 6 to 9pm Zen Kitchen, 634 Somerset St. West hosts Sunday Night Jazz in Ottawa. Some of the best jazz musician in the area play 3 sets of music for your listening pleasure. Come and experience award winning vegan cuisine and great jazz music! www.zenkitchen.ca",http://couchassass.in/event/sunday-night-jazz,Couch Assassin
"Sun, Aug 31",The Birdie Whyte Show,The Lafayette (The Laff),6:00 PM,,"Have you caught this SPECTACULAR show yet? It's only been a few months, but already Birdie Whyte has captured a following. And it's no wonder - her talent, skill, and beautiful vocals lift you up and inspire you! Not to be missed, her set begins every Sunday evening at 6pm. Cover is always FREE and I know you'll be back for more! And if that wasn’t enough, we have great drink specials at 11am until 9pm so come early, and stay late. Either way, you are guaranteed a good time!See you @ the Laff!Specials: Picthers of Beau's - $14Pitchers of Labatt 50 - $12Featured Shooter ByWash Bulleit - $4.75",http://couchassass.in/event/the-birdie-whyte-show,Couch Assassin
"Sun, Aug 31",The Hintonburg Public House Trivia Challenge,The Hintonburg Public House,9:00 PM,,"Sunday August 31st, 2014 The HPH Trivia Challenge. Think your smart? Organize a team of 2-4 people and let's see who is the trivia genius of the month. Its a holiday weekend so you can stay out late & celebrate your win!!!",http://couchassass.in/event/the-hintonburg-public-house-trivia-challenge-6,Couch Assassin
"Sun, Aug 31",The HPH Trivia Night,The Hintonburg Public House,9:00 PM,,"Sunday August 31st, 2014 The HPH Trivia Challenge. Think you're smart? Organize a team of 2-4 people and let's see who is the trivia genius of the month. $5 entrance fee which will go to the Parkdale Food Centre.",http://couchassass.in/event/the-hph-trivia-night,Couch Assassin
"Sun, Aug 31",TOUGHEN UP!,House of TARG,9:00 PM,,TOUGHEN UP! vinyl & pinball night debuts APRIL 20th long weekend at HOUSE OF TARG. Featuring KJMAXX & GUESTS spinning solid jams every SUNDAY 9pm-1am.,http://couchassass.in/event/toughen-up,Couch Assassin
"Sun, Aug 31",Mod Club Night,Babylon,10:00 PM,,GO-GO-GO to Babylon for Mod Night every Sunday. A fun filled 1960's flashback night when rock and roll was as simple as bowl haircuts and mini skirts.No cover baby.,http://couchassass.in/event/mod-club-night,Couch Assassin
"Sun, Aug 31",SUNDAY LATE nite LIVE with TARIQ ANWAR,Atomic Rooster,10:00 PM,,Always so pleased to announce that TARIQ will be gracing the acoustic stage once again.,http://couchassass.in/event/sunday-late-nite-live-with-tariq-anwar,Couch Assassin
